"Referentiecode","ReferentieOmslagcode","Sortering","Referentienummer","Omschrijving (verkort)","Omschrijving","D/C","Nivo","ZZP-Belastingdienst pilot ZOL-AWA","Afrek syst","WoCo","BB","ZZP","Agro","WKR","EZ/VOF","BV","WoCo","Bank","OZW","Nivo5","Uitbr5"
"BIvaKooCaeAfs","","A.B.B020","0102020.02","Afschrijvingen","Afschrijvingen kosten van ontwikkeling","C","5","","","","","1","","","","","1","","","1",""
"BIvaKooCaeDca","","A.B.B030","0102020.03","Afschrijving op desinvesteringen","Afschrijving op desinvesteringen kosten van ontwikkeling","D","5","","","","","1","","","","","1","","","1",""
"BIvaKooCaeWvr","","A.B.B040","0102020.04","Bijzondere waardeverminderingen","Bijzondere waardeverminderingen kosten van ontwikkeling","C","5","","","","","1","","","","","1","","","1",""
"BIvaKooCaeTvw","","A.B.B050","0102020.05","Terugneming van bijzondere waardeverminderingen","Terugneming van bijzondere waardeverminderingen kosten van ontwikkeling","D","5","","","","","1","","","","","1","","","1",""
"BIvaKooCuh","","A.B.C","0102030","Cumulatieve herwaarderingen","Cumulatieve herwaarderingen kosten van ontwikkeling","D","4","","","","","1","","","","","1","","","",""
"BIvaKooCuhBeg","","A.B.C010","0102030.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) kosten van ontwikkeling","D","5","","","","1","1","","","","","1","","","1",""
"BIvaKooCuhHer","","A.B.C020","0102030.02","Herwaarderingen","Herwaarderingen kosten van ontwikkeling","D","5","","","","","1","","","","","1","","","1",""
"BIvaKooCuhAfh","","A.B.C030","0102030.03","Afschrijving herwaarderingen","Afschrijving herwaarderingen kosten van ontwikkeling","C","5","","","","","1","","","","","1","","","1",""
"BIvaKooCuhDeh","","A.B.C040","0102030.04","Desinvestering herwaarderingen","Desinvestering herwaarderingen kosten van ontwikkeling","C","5","","","","","1","","","","","1","","","1",""
"BIvaCev","","A.C","0106000","Concessies, vergunningen en intellectuele eigendom","Concessies, vergunningen en intellectuele eigendom","D","3","","","","","1","","","","","1","","","",""
"BIvaCevVvp","","A.C.A","0106010","Verkrijgings- of vervaardigingsprijs","Verkrijgings- of vervaardigingsprijs concessies, vergunningen en intellectuele eigendom","D","4","","","","","1","","","","","1","","","",""
"BIvaCevVvpBeg","","A.C.A010","0106010.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) concessies, vergunningen en intellectuele eigendom","D","5","","","","1","1","","","","","1","","","1",""
"BIvaCevVvpInv","","A.C.A020","0106010.02","Investeringen","Investeringen concessies, vergunningen en intellectuele eigendom","D","5","","","","","1","","","","","1","","","1",""
"BIvaCevVvpAdo","","A.C.A030","0106010.03","Bij overname verkregen activa","Bij overname verkregen activa concessies, vergunningen en intellectuele eigendom","D","5","","","","","1","","","","","1","","","1",""
"BIvaCevVvpDes","","A.C.A040","0106010.04","Desinvesteringen","Desinvesteringen concessies, vergunningen en intellectuele eigendom","C","5","","","","","1","","","","","1","","","1",""
"BIvaCevVvpDda","","A.C.A050","0106010.05","Afstotingen","Afstotingen concessies, vergunningen en intellectuele eigendom","C","5","","","","","1","","","","","1","","","1",""
"BIvaCevVvpOmv","","A.C.A080","0106010.06","Omrekeningsverschillen","Omrekeningsverschillen concessies, vergunningen en intellectuele eigendom","D","5","","","","","1","","","","","1","","","1",""
"BIvaCevVvpOvm","","A.C.A090","0106010.07","Overige mutaties","Overige mutaties concessies, vergunningen en intellectuele eigendom","D","5","","","","","1","","","","","1","","","1",""
"BIvaCevCae","","A.C.B","0106020","Cumulatieve afschrijvingen en waardeverminderingen","Cumulatieve afschrijvingen en waardeverminderingen concessies, vergunningen en intellectuele eigendom","C","4","","","","","1","","","","","1","","","",""
"BIvaCevCaeBeg","","A.C.B010","0106020.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) concessies, vergunningen en intellectuele eigendom","C","5","","","","1","1","","","","","1","","","1",""
"BIvaCevCaeAfs","","A.C.B020","0106020.02","Afschrijvingen","Afschrijvingen concessies, vergunningen en intellectuele eigendom","C","5","","","","","1","","","","","1","","","1",""
"BIvaCevCaeDca","","A.C.B030","0106020.03","Afschrijving op desinvesteringen","Afschrijving op desinvesteringen concessies, vergunningen en intellectuele eigendom","D","5","","","","","1","","","","","1","","","1",""
"BIvaCevCaeWvr","","A.C.B040","0106020.04","Bijzondere waardeverminderingen","Bijzondere waardeverminderingen concessies, vergunningen en intellectuele eigendom","C","5","","","","","1","","","","","1","","","1",""
"BIvaCevCaeTvw","","A.C.B050","0106020.05","Terugneming van bijzondere waardeverminderingen","Terugneming van bijzondere waardeverminderingen concessies, vergunningen en intellectuele eigendom","D","5","","","","","1","","","","","1","","","1",""
"BIvaCevCuh","","A.C.C","0106030","Cumulatieve herwaarderingen","Cumulatieve herwaarderingen concessies, vergunningen en intellectuele eigendom","D","4","","","","","1","","","","","1","","","",""
"BIvaCevCuhBeg","","A.C.C010","0106030.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) concessies, vergunningen en intellectuele eigendom","D","5","","","","1","1","","","","","1","","","1",""
"BIvaCevCuhHer","","A.C.C020","0106030.02","Herwaarderingen","Herwaarderingen concessies, vergunningen en intellectuele eigendom","D","5","","","","","1","","","","","1","","","1",""
"BIvaCevCuhAfh","","A.C.C030","0106030.03","Afschrijving herwaarderingen","Afschrijving herwaarderingen concessies, vergunningen en intellectuele eigendom","C","5","","","","","1","","","","","1","","","1",""
"BIvaCevCuhDeh","","A.C.C040","0106030.04","Desinvestering herwaarderingen","Desinvestering herwaarderingen concessies, vergunningen en intellectuele eigendom","C","5","","","","","1","","","","","1","","","1",""
"BIvaGoo","","A.D","0107000","Goodwill","Goodwill","D","3","1","","1",""," ","","","","","","","","",""
"BIvaGooVvp","","A.D.A","0107010","Verkrijgings- of vervaardigingsprijs","Verkrijgings- of vervaardigingsprijs goodwill","D","4","1","","1",""," ","","","","","","","","",""
"BIvaGooVvpBeg","","A.D.A010","0107010.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) goodwill","D","5","","","1","1","1","","","","","","","","1",""
"BIvaGooVvpInv","","A.D.A020","0107010.02","Investeringen","Investeringen goodwill","D","5","","","1","","1","","","","","","","","1",""
"BIvaGooVvpAdo","","A.D.A030","0107010.03","Bij overname verkregen activa","Bij overname verkregen activa goodwill","D","5","","","1","","1","","","","","","","","1",""
