"Referentiecode","ReferentieOmslagcode","Sortering","Referentienummer","Omschrijving (verkort)","Omschrijving","D/C","Nivo","ZZP-Belastingdienst pilot ZOL-AWA","Afrek syst","WoCo","BB","ZZP","Agro","WKR","EZ/VOF","BV","WoCo","Bank","OZW","Nivo5","Uitbr5"
"BMvaSchCaeTvw","","B.N.B050","0212020.05","Terugneming van bijzondere waardeverminderingen","Terugneming van bijzondere waardeverminderingen schepen","D","5","","","","","1","","","1","","1","1","","1",""
"BMvaSchCuh","","B.N.C","0212030","Cumulatieve herwaarderingen","Cumulatieve herwaarderingen schepen","D","4","","","","","1","","","1","","1","1","","",""
"BMvaSchCuhBeg","","B.N.C010","0212030.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) schepen","D","5","","","","1","1","","","1","","1","1","","1",""
"BMvaSchCuhHer","","B.N.C020","0212030.02","Herwaarderingen","Herwaarderingen schepen","D","5","","","","","1","","","1","","1","1","","1",""
"BMvaSchCuhAfh","","B.N.C030","0212030.03","Afschrijving herwaarderingen","Afschrijving herwaarderingen schepen","C","5","","","","","1","","","1","","1","1","","1",""
"BMvaSchCuhDeh","","B.N.C040","0212030.04","Desinvestering herwaarderingen","Desinvestering herwaarderingen schepen","C","5","","","","","1","","","1","","1","1","","1",""
"BMvaMep","","B.Q","0221000","Meerjaren plantopstand","Meerjaren plantopstand","D","3","","","","","1","1","","1","","1","","","",""
"BMvaMepVvp","","B.Q.A","0221010","Verkrijgings- of vervaardigingsprijs","Verkrijgings- of vervaardigingsprijs meerjaren plantopstand","D","4","","","","","1","1","","1","","1","","","",""
"BMvaMepVvpBeg","","B.Q.A010","0221010.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) meerjaren plantopstand","D","5","","","","1","1","1","","1","","1","","","1",""
"BMvaMepVvpIna","","B.Q.A020","0221010.02","Investeringen","Investeringen meerjaren plantopstand","D","5","","","","","1","1","","1","","1","","","1",""
"BMvaMepVvpAdo","","B.Q.A030","0221010.05","Verwervingen via fusies en overnames","Verwervingen via fusies en overnames meerjaren plantopstand","D","5","","","","","1","1","","1","","1","","","1",""
"BMvaMepVvpDes","","B.Q.A040","0221010.06","Desinvesteringen","Desinvesteringen meerjaren plantopstand","C","5","","","","","1","1","","1","","1","","","1",""
"BMvaMepVvpDda","","B.Q.A050","0221010.07","Afstotingen","Afstotingen meerjaren plantopstand","C","5","","","","","1","1","","1","","1","","","1",""
"BMvaMepVvpOmv","","B.Q.A080","0221010.08","Omrekeningsverschillen","Omrekeningsverschillen meerjaren plantopstand","D","5","","","","","1","1","","1","","1","","","1",""
"BMvaMepVvpOve","","B.Q.A085","0221010.09","Overboekingen","Overboekingen meerjaren plantopstand","D","5","","","","","1","1","","1","","1","","","1",""
"BMvaMepVvpOvm","","B.Q.A090","0221010.10","Overige mutaties","Overige mutaties meerjaren plantopstand","D","5","","","","","1","1","","1","","1","","","1",""
"BMvaMepCae","","B.Q.B","0221020","Cumulatieve afschrijvingen en waardeverminderingen","Cumulatieve afschrijvingen en waardeverminderingen meerjaren plantopstand","C","4","","","","","1","1","","1","","1","","","",""
"BMvaMepCaeBeg","","B.Q.B010","0221020.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) meerjaren plantopstand","C","5","","","","1","1","1","","1","","1","","","1",""
"BMvaMepCaeAfs","","B.Q.B020","0221020.02","Afschrijvingen","Afschrijvingen meerjaren plantopstand","C","5","","","","","1","1","","1","","1","","","1",""
"BMvaMepCaeDca","","B.Q.B030","0221020.03","Afschrijving op desinvesteringen","Afschrijving op desinvesteringen meerjaren plantopstand","D","5","","","","","1","1","","1","","1","","","1",""
"BMvaMepCaeWvr","","B.Q.B040","0221020.04","Bijzondere waardeverminderingen","Bijzondere waardeverminderingen meerjaren plantopstand","C","5","","","","","1","1","","1","","1","","","1",""
"BMvaMepCaeTvw","","B.Q.B050","0221020.05","Terugneming van bijzondere waardeverminderingen","Terugneming van bijzondere waardeverminderingen meerjaren plantopstand","D","5","","","","","1","1","","1","","1","","","1",""
"BMvaMepCuh","","B.Q.C","0221030","Cumulatieve herwaarderingen","Cumulatieve herwaarderingen meerjaren plantopstand","D","4","","","","","1","1","","1","","1","","","",""
"BMvaMepCuhBeg","","B.Q.C010","0221030.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) meerjaren plantopstand","D","5","","","","1","1","1","","1","","1","","","1",""
"BMvaMepCuhHer","","B.Q.C020","0221030.02","Herwaarderingen","Herwaarderingen meerjaren plantopstand","D","5","","","","","1","1","","1","","1","","","1",""
"BMvaMepCuhAfh","","B.Q.C030","0221030.03","Afschrijving herwaarderingen","Afschrijving herwaarderingen meerjaren plantopstand","C","5","","","","","1","1","","1","","1","","","1",""
"BMvaMepCuhDeh","","B.Q.C040","0221030.04","Desinvestering herwaarderingen","Desinvestering herwaarderingen meerjaren plantopstand","C","5","","","","","1","1","","1","","1","","","1",""
"BMvaGeb","","B.S","0222000","Gebruiksvee","Gebruiksvee","D","3","","","","","1","1","","1","","1","","","",""
"BMvaGebVvp","","B.S.A","0222010","Verkrijgings- of vervaardigingsprijs","Verkrijgings- of vervaardigingsprijs gebruiksvee","D","4","","","","","1","1","","1","","1","","","",""
"BMvaGebVvpBeg","","B.S.A010","0222010.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) gebruiksvee","D","5","","","","1","1","1","","1","","1","","","1",""
"BMvaGebVvpIna","","B.S.A020","0222010.02","Investeringen","Investeringen gebruiksvee","D","5","","","","","1","1","","1","","1","","","1",""
"BMvaGebVvpAdo","","B.S.A030","0222010.05","Verwervingen via fusies en overnames","Verwervingen via fusies en overnames gebruiksvee","D","5","","","","","1","1","","1","","1","","","1",""
"BMvaGebVvpDes","","B.S.A040","0222010.06","Desinvesteringen","Desinvesteringen gebruiksvee","C","5","","","","","1","1","","1","","1","","","1",""
"BMvaGebVvpDda","","B.S.A050","0222010.07","Afstotingen","Afstotingen gebruiksvee","C","5","","","","","1","1","","1","","1","","","1",""
"BMvaGebVvpOmv","","B.S.A080","0222010.08","Omrekeningsverschillen","Omrekeningsverschillen gebruiksvee","D","5","","","","","1","1","","1","","1","","","1",""
"BMvaGebVvpOve","","B.S.A085","0222010.09","Overboekingen","Overboekingen gebruiksvee","D","5","","","","","1","1","","1","","1","","","1",""
"BMvaGebVvpOvm","","B.S.A090","0222010.10","Overige mutaties","Overige mutaties gebruiksvee","D","5","","","","","1","1","","1","","1","","","1",""
"BMvaGebCae","","B.S.B","0222020","Cumulatieve afschrijvingen en waardeverminderingen","Cumulatieve afschrijvingen en waardeverminderingen gebruiksvee","C","4","","","","","1","1","","1","","1","","","",""
"BMvaGebCaeBeg","","B.S.B010","0222020.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) gebruiksvee","C","5","","","","1","1","1","","1","","1","","","1",""
"BMvaGebCaeAfs","","B.S.B020","0222020.02","Afschrijvingen","Afschrijvingen gebruiksvee","C","5","","","","","1","1","","1","","1","","","1",""
"BMvaGebCaeDca","","B.S.B030","0222020.03","Afschrijving op desinvesteringen","Afschrijving op desinvesteringen gebruiksvee","D","5","","","","","1","1","","1","","1","","","1",""
"BMvaGebCaeWvr","","B.S.B040","0222020.04","Bijzondere waardeverminderingen","Bijzondere waardeverminderingen gebruiksvee","C","5","","","","","1","1","","1","","1","","","1",""
"BMvaGebCaeTvw","","B.S.B050","0222020.05","Terugneming van bijzondere waardeverminderingen","Terugneming van bijzondere waardeverminderingen gebruiksvee","D","5","","","","","1","1","","1","","1","","","1",""
"BMvaGebCuh","","B.S.C","0222030","Cumulatieve herwaarderingen","Cumulatieve herwaarderingen gebruiksvee","D","4","","","","","1","1","","1","","1","","","",""
"BMvaGebCuhBeg","","B.S.C010","0222030.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) gebruiksvee","D","5","","","","1","1","1","","1","","1","","","1",""
"BMvaGebCuhHer","","B.S.C020","0222030.02","Herwaarderingen","Herwaarderingen gebruiksvee","D","5","","","","","1","1","","1","","1","","","1",""
"BMvaGebCuhAfh","","B.S.C030","0222030.03","Afschrijving herwaarderingen","Afschrijving herwaarderingen gebruiksvee","C","5","","","","","1","1","","1","","1","","","1",""
"BMvaGebCuhDeh","","B.S.C040","0222030.04","Desinvestering herwaarderingen","Desinvestering herwaarderingen gebruiksvee","C","5","","","","","1","1","","1","","1","","","1",""
"BMvaVbi","","B.U","0216000","Vaste bedrijfsmiddelen in uitvoering","Vaste bedrijfsmiddelen in uitvoering","D","3","","","","","1","","","","","1","","","",""
"BMvaVbiVvp","","B.U.A","0216010","Verkrijgings- of vervaardigingsprijs","Verkrijgings- of vervaardigingsprijs vaste bedrijfsmiddelen in uitvoering","D","4","","","","","1","","","","","1","","","",""
"BMvaVbiVvpBeg","","B.U.A010","0216010.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) vaste bedrijfsmiddelen in uitvoering","D","5","","","","1","1","","","","","1","","","1",""
"BMvaVbiVvpIna","","B.U.A020","0216010.02","Investeringen","Investeringen vaste bedrijfsmiddelen in uitvoering","D","5","","","","","1","","","","","1","","","1",""
"BMvaVbiVvpAdo","","B.U.A030","0216010.05","Verwervingen via fusies en overnames","Verwervingen via fusies en overnames vaste bedrijfsmiddelen in uitvoering","D","5","","","","","1","","","","","1","","","1",""
"BMvaVbiVvpDes","","B.U.A040","0216010.06","Desinvesteringen","Desinvesteringen vaste bedrijfsmiddelen in uitvoering","C","5","","","","","1","","","","","1","","","1",""
"BMvaVbiVvpDda","","B.U.A050","0216010.07","Afstotingen","Afstotingen vaste bedrijfsmiddelen in uitvoering","C","5","","","","","1","","","","","1","","","1",""
"BMvaVbiVvpOmv","","B.U.A080","0216010.08","Omrekeningsverschillen","Omrekeningsverschillen vaste bedrijfsmiddelen in uitvoering","D","5","","","","","1","","","","","1","","","1",""
"BMvaVbiVvpOve","","B.U.A085","0216010.09","Overboekingen","Overboekingen vaste bedrijfsmiddelen in uitvoering","D","5","","","","","1","","","","","1","","","1",""
"BMvaVbiVvpOvm","","B.U.A090","0216010.10","Overige mutaties","Overige mutaties vaste bedrijfsmiddelen in uitvoering","D","5","","","","","1","","","","","1","","","1",""
"BMvaVbiCae","","B.U.B","0216020","Cumulatieve afschrijvingen en waardeverminderingen","Cumulatieve afschrijvingen en waardeverminderingen vaste bedrijfsmiddelen in uitvoering","C","4","","","","","1","","","","","1","","","",""
"BMvaVbiCaeBeg","","B.U.B010","0216020.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) vaste bedrijfsmiddelen in uitvoering","C","5","","","","1","1","","","","","1","","","1",""
"BMvaVbiCaeAfs","","B.U.B020","0216020.02","Afschrijvingen","Afschrijvingen vaste bedrijfsmiddelen in uitvoering","C","5","","","","","1","","","","","1","","","1",""
"BMvaVbiCaeDca","","B.U.B030","0216020.03","Afschrijving op desinvesteringen","Afschrijving op desinvesteringen vaste bedrijfsmiddelen in uitvoering","D","5","","","","","1","","","","","1","","","1",""
"BMvaVbiCaeWvr","","B.U.B040","0216020.04","Bijzondere waardeverminderingen","Bijzondere waardeverminderingen vaste bedrijfsmiddelen in uitvoering","C","5","","","","","1","","","","","1","","","1",""
"BMvaVbiCaeTvw","","B.U.B050","0216020.05","Terugneming van bijzondere waardeverminderingen","Terugneming van bijzondere waardeverminderingen vaste bedrijfsmiddelen in uitvoering","D","5","","","","","1","","","","","1","","","1",""
"BMvaVbiCuh","","B.U.C","0216030","Cumulatieve herwaarderingen","Cumulatieve herwaarderingen vaste bedrijfsmiddelen in uitvoering","D","4","","","","","1","","","","","1","","","",""
"BMvaVbiCuhBeg","","B.U.C010","0216030.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) vaste bedrijfsmiddelen in uitvoering","D","5","","","","1","1","","","","","1","","","1",""
"BMvaVbiCuhHer","","B.U.C020","0216030.02","Herwaarderingen","Herwaarderingen vaste bedrijfsmiddelen in uitvoering","D","5","","","","","1","","","","","1","","","1",""
"BMvaVbiCuhAfh","","B.U.C030","0216030.03","Afschrijving herwaarderingen","Afschrijving herwaarderingen vaste bedrijfsmiddelen in uitvoering","C","5","","","","","1","","","","","1","","","1",""
"BMvaVbiCuhDeh","","B.U.C040","0216030.04","Desinvestering herwaarderingen","Desinvestering herwaarderingen vaste bedrijfsmiddelen in uitvoering","C","5","","","","","1","","","","","1","","","1",""
"BMvaVmv","","B.V","0216100","Vooruitbetalingen op materiële vaste activa","Vooruitbetalingen op materiële vaste activa","D","3","","","","","1","","","",""," ","","","",""
"BMvaVmvVvp","","B.V.A","0216110","Verkrijgings- of vervaardigingsprijs","Verkrijgings- of vervaardigingsprijs vooruitbetalingen op materiële vaste activa","D","4","","","","","1","","","",""," ","","","",""
"BMvaVmvVvpBeg","","B.V.A010","0216110.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) vooruitbetalingen op materiële vaste activa","D","5","","","","1","1","","","","","","","","1",""
"BMvaVmvVvpIna","","B.V.A020","0216110.02","Investeringen","Investeringen vooruitbetalingen op materiële vaste activa","D","5","","","","","1","","","","","","","","1",""
"BMvaVmvVvpAdo","","B.V.A030","0216110.05","Verwervingen via fusies en overnames","Verwervingen via fusies en overnames vooruitbetalingen op materiële vaste activa","D","5","","","","","1","","","","","","","","1",""
"BMvaVmvVvpDes","","B.V.A040","0216110.06","Desinvesteringen","Desinvesteringen vooruitbetalingen op materiële vaste activa","C","5","","","","","1","","","","","","","","1",""
"BMvaVmvVvpDda","","B.V.A050","0216110.07","Afstotingen","Afstotingen vooruitbetalingen op materiële vaste activa","C","5","","","","","1","","","","","","","","1",""
"BMvaVmvVvpOmv","","B.V.A080","0216110.08","Omrekeningsverschillen","Omrekeningsverschillen vooruitbetalingen op materiële vaste activa","D","5","","","","","1","","","","","","","","1",""
"BMvaVmvVvpOve","","B.V.A085","0216110.09","Overboekingen","Overboekingen vooruitbetalingen op materiële vaste activa","D","5","","","","","1","","","","","","","","1",""
"BMvaVmvVvpOvm","","B.V.A090","0216110.10","Overige mutaties","Overige mutaties vooruitbetalingen op materiële vaste activa","D","5","","","","","1","","","","","","","","1",""
"BMvaVmvCae","","B.V.B","0216120","Cumulatieve afschrijvingen en waardeverminderingen","Cumulatieve afschrijvingen en waardeverminderingen vooruitbetalingen op materiële vaste activa","C","4","","","","","1","","","","","","","","",""
"BMvaVmvCaeBeg","","B.V.B010","0216120.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) vooruitbetalingen op materiële vaste activa","C","5","","","","1","1","","","","","","","","1",""
"BMvaVmvCaeAfs","","B.V.B020","0216120.02","Afschrijvingen","Afschrijvingen vooruitbetalingen op materiële vaste activa","C","5","","","","","1","","","","","","","","1",""
"BMvaVmvCaeDca","","B.V.B030","0216120.03","Afschrijving op desinvesteringen","Afschrijving op desinvesteringen vooruitbetalingen op materiële vaste activa","D","5","","","","","1","","","","","","","","1",""
"BMvaVmvCaeWvr","","B.V.B040","0216120.04","Bijzondere waardeverminderingen","Bijzondere waardeverminderingen vooruitbetalingen op materiële vaste activa","C","5","","","","","1","","","","","","","","1",""
"BMvaVmvCaeTvw","","B.V.B050","0216120.05","Terugneming van bijzondere waardeverminderingen","Terugneming van bijzondere waardeverminderingen vooruitbetalingen op materiële vaste activa","D","5","","","","","1","","","","","","","","1",""
"BMvaVmvCuh","","B.V.C","0216130","Cumulatieve herwaarderingen","Cumulatieve herwaarderingen vooruitbetalingen op materiële vaste activa","D","4","","","","","1","","","","","","","","",""
"BMvaVmvCuhBeg","","B.V.C010","0216130.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) vooruitbetalingen op materiële vaste activa","D","5","","","","1","1","","","","","","","","1",""
"BMvaVmvCuhHer","","B.V.C020","0216130.02","Herwaarderingen","Herwaarderingen vooruitbetalingen op materiële vaste activa","D","5","","","","","1","","","","","","","","1",""
"BMvaVmvCuhAfh","","B.V.C030","0216130.03","Afschrijving herwaarderingen","Afschrijving herwaarderingen vooruitbetalingen op materiële vaste activa","C","5","","","","","1","","","","","","","","1",""
"BMvaVmvCuhDeh","","B.V.C040","0216130.04","Desinvestering herwaarderingen","Desinvestering herwaarderingen vooruitbetalingen op materiële vaste activa","C","5","","","","","1","","","","","","","","1",""
"BMvaNad","","B.W","0217000","Niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","Niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","D","3","","","","","1","","","","","","","","",""
"BMvaNadVvp","","B.W.A","0217010","Verkrijgings- of vervaardigingsprijs","Verkrijgings- of vervaardigingsprijs niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","D","4","","","","","1","","","","","","","","",""
"BMvaNadVvpBeg","","B.W.A010","0217010.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","D","5","","","","1","1","","","","","","","","1",""
"BMvaNadVvpIna","","B.W.A020","0217010.02","Investeringen","Investeringen niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","D","5","","","","","1","","","","","","","","1",""
"BMvaNadVvpAdo","","B.W.A030","0217010.05","Verwervingen via fusies en overnames","Verwervingen via fusies en overnames niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","D","5","","","","","1","","","","","","","","1",""
"BMvaNadVvpDes","","B.W.A040","0217010.06","Desinvesteringen","Desinvesteringen niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","C","5","","","","","1","","","","","","","","1",""
"BMvaNadVvpDda","","B.W.A050","0217010.07","Afstotingen","Afstotingen niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","C","5","","","","","1","","","","","","","","1",""
"BMvaNadVvpOmv","","B.W.A080","0217010.08","Omrekeningsverschillen","Omrekeningsverschillen niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","D","5","","","","","1","","","","","","","","1",""
"BMvaNadVvpOve","","B.W.A085","0217010.09","Overboekingen","Overboekingen niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","D","5","","","","","1","","","","","","","","1",""
"BMvaNadVvpOvm","","B.W.A090","0217010.10","Overige mutaties","Overige mutaties niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","D","5","","","","","1","","","","","","","","1",""
"BMvaNadCae","","B.W.B","0217020","Cumulatieve afschrijvingen en waardeverminderingen","Cumulatieve afschrijvingen en waardeverminderingen niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","C","4","","","","","1","","","","","","","","",""
"BMvaNadCaeBeg","","B.W.B010","0217020.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","C","5","","","","1","1","","","","","","","","1",""
"BMvaNadCaeAfs","","B.W.B020","0217020.02","Afschrijvingen","Afschrijvingen niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","C","5","","","","","1","","","","","","","","1",""
"BMvaNadCaeDca","","B.W.B030","0217020.03","Afschrijving op desinvesteringen","Afschrijving op desinvesteringen niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","D","5","","","","","1","","","","","","","","1",""
"BMvaNadCaeWvr","","B.W.B040","0217020.04","Bijzondere waardeverminderingen","Bijzondere waardeverminderingen niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","C","5","","","","","1","","","","","","","","1",""
"BMvaNadCaeTvw","","B.W.B050","0217020.05","Terugneming van bijzondere waardeverminderingen","Terugneming van bijzondere waardeverminderingen niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","D","5","","","","","1","","","","","","","","1",""
"BMvaNadCuh","","B.W.C","0217030","Cumulatieve herwaarderingen","Cumulatieve herwaarderingen niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","D","4","","","","","1","","","","","","","","",""
"BMvaNadCuhBeg","","B.W.C010","0217030.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","D","5","","","","1","1","","","","","","","","1",""
"BMvaNadCuhHer","","B.W.C020","0217030.02","Herwaarderingen","Herwaarderingen niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","D","5","","","","","1","","","","","","","","1",""
"BMvaNadCuhAfh","","B.W.C030","0217030.03","Afschrijving herwaarderingen","Afschrijving herwaarderingen niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","C","5","","","","","1","","","","","","","","1",""
"BMvaNadCuhDeh","","B.W.C040","0217030.04","Desinvestering herwaarderingen","Desinvestering herwaarderingen niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","C","5","","","","","1","","","","","","","","1",""
"BMvaOrz","","B.X","0218000","Onroerende en roerende zaken ten dienste van de exploitatie","Onroerende en roerende zaken ten dienste van de exploitatie","D","3","","","1","","1","","","1","","","","","",""
"BMvaOrzVvp","","B.X.A","0218010","Verkrijgings- of vervaardigingsprijs ten dienste van de exploitatie","Verkrijgings- of vervaardigingsprijs ten dienste van de exploitatie","D","4","","","1","","1","","","1","","","","","",""
"BMvaOrzVvpBeg","","B.X.A010","0218010.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar)  ten dienste van de exploitatie","D","5","","","1","1","1","","","1","","","","","1",""
"BMvaOrzVvpIna","","B.X.A020","0218010.02","Investeringen","Investeringen  ten dienste van de exploitatie","D","5","","","1","","1","","","1","","","","","1",""
"BMvaOrzVvpAdo","","B.X.A030","0218010.05","Verwervingen via fusies en overnames","Verwervingen via fusies en overnames  ten dienste van de exploitatie","D","5","","","1","","1","","","1","","","","","1",""
"BMvaOrzVvpDes","","B.X.A040","0218010.06","Desinvesteringen","Desinvesteringen  ten dienste van de exploitatie","C","5","","","1","","1","","","1","","","","","1",""
"BMvaOrzVvpDda","","B.X.A050","0218010.07","Afstotingen","Afstotingen  ten dienste van de exploitatie","C","5","","","1","","1","","","1","","","","","1",""
"BMvaOrzVvpOmv","","B.X.A080","0218010.08","Omrekeningsverschillen","Omrekeningsverschillen  ten dienste van de exploitatie","D","5","","","1","","1","","","1","","","","","1",""
"BMvaOrzVvpOve","","B.X.A085","0218010.09","Overboekingen","Overboekingen  ten dienste van de exploitatie","D","5","","","1","","1","","","1","","","","","1",""
"BMvaOrzVvpOvm","","B.X.A090","0218010.10","Overige mutaties","Overige mutaties  ten dienste van de exploitatie","D","5","","","1","","1","","","1","","","","","1",""
"BMvaOrzCae","","B.X.B","0218020","Cumulatieve afschrijvingen en waardeverminderingen","Cumulatieve afschrijvingen en waardeverminderingen  ten dienste van de exploitatie","C","4","","","1","","1","","","1","","","","","",""
"BMvaOrzCaeBeg","","B.X.B010","0218020.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar)  ten dienste van de exploitatie","C","5","","","1","1","1","","","1","","","","","1",""
"BMvaOrzCaeAfs","","B.X.B020","0218020.02","Afschrijvingen","Afschrijvingen niet aan de bedrijfsuitoefening  ten dienste van de exploitatie","C","5","","","1","","1","","","1","","","","","1",""
"BMvaOrzCaeDca","","B.X.B030","0218020.03","Afschrijving op desinvesteringen","Afschrijving op desinvesteringen  ten dienste van de exploitatie","D","5","","","1","","1","","","1","","","","","1",""
"BMvaOrzCaeWvr","","B.X.B040","0218020.04","Bijzondere waardeverminderingen","Bijzondere waardeverminderingen  ten dienste van de exploitatie","C","5","","","1","","1","","","1","","","","","1",""
"BMvaOrzCaeTvw","","B.X.B050","0218020.05","Terugneming van bijzondere waardeverminderingen","Terugneming van bijzondere waardeverminderingen  ten dienste van de exploitatie","D","5","","","1","","1","","","1","","","","","1",""
"BMvaOrzCuh","","B.X.C","0218030","Cumulatieve herwaarderingen","Cumulatieve herwaarderingen  ten dienste van de exploitatie","D","4","","","1","","1","","","1","","","","","",""
"BMvaOrzCuhBeg","","B.X.C010","0218030.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar)  ten dienste van de exploitatie","D","5","","","1","1","1","","","1","","","","","1",""
"BMvaOrzCuhHer","","B.X.C020","0218030.02","Herwaarderingen","Herwaarderingen  ten dienste van de exploitatie","D","5","","","1","","1","","","1","","","","","1",""
"BMvaOrzCuhAfh","","B.X.C030","0218030.03","Afschrijving herwaarderingen","Afschrijving herwaarderingen  ten dienste van de exploitatie","C","5","","","1","","1","","","1","","","","","1",""
"BMvaOrzCuhDeh","","B.X.C040","0218030.04","Desinvestering herwaarderingen","Desinvestering herwaarderingen  ten dienste van de exploitatie","C","5","","","1","","1","","","1","","","","","1",""
"BVas","","C","02.01","Vastgoedbeleggingen","Vastgoedbeleggingen","D","2","","","1","","1","","","1","","","","","",""
"BVasVio","","C.A","0204000","Vastgoedbeleggingen in ontwikkeling bestemd voor eigen exploitatie ","Vastgoedbeleggingen in ontwikkeling bestemd voor eigen exploitatie","D","3","","","1","","1","","","1","","","","","",""
"BVasVioVvp","","C.A.A","0204010","Kostprijs","Kostprijs vastgoedbeleggingen in ontwikkeling","D","4","","","1","","1","","","1","","","","","",""
"BVasVioVvpBeg","","C.A.A010","0204010.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) vastgoedbeleggingen in ontwikkeling","D","5","","","1","1","1","","","1","","","","","1",""
"BVasVioVvpIna","","C.A.A020","0204010.02","Initiële verkrijgingen","Initiële verkrijgingen ","D","5","","","1","","1","","","1","","","","","1",""
"BVasVioVvpUne","","C.A.A030","0204010.11","Uitgaven na eerste waardering","Uitgaven na eerste waardering ","D","5","","","1","","1","","","1","","","","","1",""
"BVasVioVvpAdo","","C.A.A040","0204010.05","Investeringen door overnames","Investeringen door overnames ","D","5","","","1","","1","","","1","","","","","1",""
"BVasVioVvpHcv","","C.A.A045","0204010.12","Herclassificaties van en naar vastgoed verkocht onder voorwaarden","Herclassificaties van en naar vastgoed verkocht onder voorwaarden","D","5","","","1","","1","","","1","","","","","1",""
"BVasVioVvpDes","","C.A.A050","0204010.06","Desinvesteringen","Desinvesteringen ","C","5","","","1","","1","","","1","","","","","1",""
"BVasVioVvpDda","","C.A.A055","0204010.13","Afstotingen","Afstotingen","C","5","","","1","","1","","","1","","","","","1",""
"BVasVioVvpOmv","","C.A.A080","0204010.08","Omrekeningsverschillen","Omrekeningsverschillen ","D","5","","","1","","1","","","1","","","","","1",""
"BVasVioVvpOve","","C.A.A085","0204010.09","Overboekingen","Overboekingen ","D","5","","","1","","1","","","1","","","","","1",""
"BVasVioVvpOvm","","C.A.A090","0204010.10","Overige mutaties","Overige mutaties ","D","5","","","1","","1","","","1","","","","","1",""
"BVasVioCae","","C.A.B","0204020","Cumulatieve afschrijvingen en waardeverminderingen","Cumulatieve afschrijvingen en waardeverminderingen ","C","4","","","1"," ","1","","","1","","","","","",""
"BVasVioCaeBeg","","C.A.B010","0204020.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) ","C","5","","","1","1","1","","","1","","","","","1",""
"BVasVioCaeAfs","","C.A.B020","0204020.02","Afschrijvingen","Afschrijvingen ","C","5","","","1","","1","","","1","","","","","1",""
"BVasVioCaeDca","","C.A.B030","0204020.03","Afschrijving op desinvesteringen","Afschrijving op desinvesteringen ","D","5","","","1","","1","","","1","","","","","1",""
